iter	Passed	Remaining
0	7	7770
1	13	6881
2	20	6760
3	26	6482
4	32	6427
5	38	6350
6	44	6280
7	50	6200
8	56	6174
9	61	6093
10	67	6080
11	73	6042
12	78	5996
13	85	5992
14	91	5992
15	96	5958
16	102	5937
17	108	5923
18	114	5901
19	120	5891
20	125	5870
21	131	5857
22	137	5860
23	143	5849
24	149	5833
25	155	5830
26	161	5814
27	167	5822
28	173	5819
29	179	5819
30	185	5805
31	191	5803
32	197	5789
33	203	5788
34	211	5821
35	220	5905
36	226	5890
37	232	5892
38	239	5901
39	245	5885
40	251	5877
41	256	5856
42	263	5863
43	271	5896
44	277	5899
45	284	5905
46	291	5905
47	297	5892
48	303	5895
49	309	5886
50	315	5872
51	321	5867
52	327	5856
53	334	5851
54	339	5840
55	346	5833
56	352	5825
57	357	5813
58	363	5800
59	369	5796
60	377	5810
61	384	5817
62	391	5826
63	396	5805
64	404	5814
65	410	5806
66	416	5801
67	422	5796
68	429	5789
69	436	5800
70	442	5785
71	447	5773
72	455	5779
73	460	5765
74	467	5763
75	473	5756
76	479	5742
77	485	5742
78	491	5735
79	497	5723
80	504	5720
81	509	5707
82	515	5696
83	521	5683
84	526	5672
85	532	5661
86	538	5649
87	543	5634
88	549	5627
89	555	5614
90	560	5601
91	566	5594
92	572	5580
93	577	5567
94	583	5558
95	589	5547
96	594	5534
97	600	5527
98	606	5516
99	611	5504
100	617	5494
101	622	5482
102	628	5470
103	633	5461
104	639	5450
105	645	5442
106	650	5431
107	656	5421
108	661	5409
109	667	5401
110	673	5391
111	678	5380
112	684	5375
113	690	5364
114	695	5353
115	701	5344
116	707	5336
117	712	5325
118	718	5317
119	723	5309
120	729	5298
121	735	5291
122	740	5282
123	746	5273
124	752	5266
125	758	5257
126	763	5248
127	769	5240
128	774	5230
129	780	5221
130	786	5215
131	791	5206
132	797	5198
133	803	5190
134	808	5182
135	814	5175
136	820	5165
137	825	5158
138	831	5150
139	837	5142
140	842	5133
141	848	5127
142	854	5120
143	859	5110
144	865	5104
145	871	5095
146	876	5086
147	882	5078
148	887	5070
149	893	5062
150	899	5056
151	904	5047
152	910	5038
153	915	5031
154	921	5022
155	926	5015
156	932	5007
157	937	4998
158	943	4990
159	949	4983
160	954	4974
161	960	4967
162	966	4960
163	971	4952
164	977	4946
165	983	4940
166	989	4933
167	994	4926
168	1000	4919
169	1006	4913
170	1011	4905
171	1017	4898
172	1023	4890
173	1028	4882
174	1034	4876
175	1040	4869
176	1045	4862
177	1051	4856
178	1057	4848
179	1062	4841
180	1068	4834
181	1073	4826
182	1079	4818
183	1085	4812
184	1090	4804
185	1096	4797
186	1101	4790
187	1107	4783
188	1113	4777
189	1118	4770
190	1124	4762
191	1130	4755
192	1135	4748
193	1141	4740
194	1147	4735
195	1152	4728
196	1158	4721
197	1164	4715
198	1169	4707
199	1175	4700
200	1180	4694
201	1186	4687
202	1192	4680
203	1198	4674
204	1203	4668
205	1209	4662
206	1215	4656
207	1221	4649
208	1226	4642
209	1232	4635
210	1237	4628
211	1243	4622
212	1249	4615
213	1254	4608
214	1260	4601
215	1266	4595
216	1271	4589
217	1277	4581
218	1283	4576
219	1288	4568
220	1293	4561
221	1299	4555
222	1305	4548
223	1311	4544
224	1317	4538
225	1323	4531
226	1328	4525
227	1334	4518
228	1339	4511
229	1345	4505
230	1353	4505
231	1359	4501
232	1365	4495
233	1371	4489
234	1376	4482
235	1382	4476
236	1388	4469
237	1393	4462
238	1399	4456
239	1405	4449
240	1410	4443
241	1416	4437
242	1422	4430
243	1427	4424
244	1433	4418
245	1439	4411
246	1445	4405
247	1450	4398
248	1456	4391
249	1461	4385
250	1467	4378
251	1472	4372
252	1478	4365
253	1484	4359
254	1489	4352
255	1495	4346
256	1501	4341
257	1507	4334
258	1512	4327
259	1518	4321
260	1523	4314
261	1529	4308
262	1535	4302
263	1541	4296
264	1547	4290
